tweetDate,compoundScore,negativeScore,positiveScore,neutralScore,count
2021-02-05,0.1035665803108808,0.0305,0.0719287564766839,0.8975777202072538,772.0
2021-02-06,0.1109182795698924,0.0262896505376344,0.071880376344086,0.9018279569892472,1488.0
2021-02-07,0.1159920444824636,0.0244414029084687,0.0718109495295124,0.903743370402053,1169.0
2021-02-08,0.1388684905660377,0.0234056603773584,0.08195,0.8946443396226416,3180.0
2021-02-09,0.1196981921979067,0.0252711703139866,0.073754995242626,0.9009700285442436,2102.0
2021-02-10,0.1242992753623188,0.0273642951251646,0.0776548089591567,0.8949762845849802,1518.0
2021-02-11,0.13000559963327332,0.0250025957768737,0.07857127166620177,0.8964227542002058,1377.3333333333333
2021-02-12,0.13571192390422787,0.022640896428582802,0.07948773437324683,0.8978692238154313,1236.6666666666667
2021-02-13,0.1414182481751824,0.0202791970802919,0.0804041970802919,0.8993156934306569,1096.0
2021-02-14,0.112052580195258,0.0287663877266387,0.0745495118549511,0.8966757322175732,1434.0
2021-02-15,0.1045180952380952,0.0319619047619047,0.0776783882783882,0.8903582417582417,1365.0
2021-02-16,0.11244914172713948,0.0303001500785705,0.07809297075437223,0.8916036776719758,1209.6666666666667
2021-02-17,0.12038018821618374,0.0286383953952363,0.07850755323035627,0.8928491135857098,1054.3333333333333
2021-02-18,0.128311234705228,0.0269766407119021,0.0789221357063403,0.8940945494994439,899.0
2021-02-19,0.1109988171064604,0.028255686988171,0.0773325750682438,0.8944099181073704,2198.0
2021-02-20,0.10648408440947663,0.0306267403027456,0.07639816085691413,0.8929732113073636,1959.6666666666667
2021-02-21,0.10196935171249287,0.0329977936173202,0.07546374664558447,0.8915365045073568,1721.3333333333333
2021-02-22,0.0974546190155091,0.0353688469318948,0.0745293324342548,0.89009979770735,1483.0
2021-02-23,0.09528802943889664,0.036544720833040716,0.07503500413017679,0.888419216617271,1368.6666666666667
2021-02-24,0.09312143986228416,0.03772059473418663,0.07554067582609877,0.886738635527192,1254.3333333333333
