cryptoName,date,open,close,high,low,average,volume,trade_count,vwap,timestamp
BTC/USD,03/28/2021,56269.39,55309.43,56526.55,54698.57,55612.56,468.542315,27381.0,55595.089943668,2021-03-28 05:00:00+00:00
BTC/USD,03/29/2021,55294.61,57550.48,58400.0,54900.7,56650.35,850.558602,40527.0,57382.8412339559,2021-03-29 05:00:00+00:00
BTC/USD,03/30/2021,57550.47,58758.08,59405.87,57360.29,58383.08,589.789997,32480.0,58757.8723923452,2021-03-30 05:00:00+00:00
BTC/USD,03/31/2021,58758.0,58895.03,59817.86,56800.0,58308.93,903.132496,41245.0,58673.580213236,2021-03-31 05:00:00+00:00
BTC/USD,04/01/2021,58895.5,59537.23,60250.0,57908.54,59079.270000000004,734.952428,39904.0,58980.0395847376,2021-04-01 05:00:00+00:00
BTC/USD,04/02/2021,59549.26,59401.97,59719.33,58440.32,59079.825,469.544635,28460.0,59193.041177029,2021-04-02 05:00:00+00:00
BTC/USD,04/03/2021,59401.97,57579.19,59796.56,56382.48,58089.520000000004,765.320142,36330.0,57987.4174318318,2021-04-03 05:00:00+00:00
BTC/USD,04/04/2021,57575.46,57310.41,58508.0,57058.82,57783.41,431.529377,24448.0,57843.0474423787,2021-04-04 05:00:00+00:00
BTC/USD,04/05/2021,57310.2,58807.07,59499.0,56819.12,58159.06,618.376235,32945.0,58521.102992212,2021-04-05 05:00:00+00:00
BTC/USD,04/06/2021,58807.07,57637.49,59000.0,57215.98,58107.990000000005,720.147641,39888.0,58013.6719348533,2021-04-06 05:00:00+00:00
BTC/USD,04/07/2021,57646.46,56907.02,58629.96,55437.11,57033.535,1478.267739,58616.0,56613.783071826,2021-04-07 05:00:00+00:00
BTC/USD,04/08/2021,56903.0,58193.36,58400.0,56349.51,57374.755000000005,617.531782,34513.0,57600.0586868357,2021-04-08 05:00:00+00:00
BTC/USD,04/09/2021,58193.36,61010.95,61171.56,57647.49,59409.524999999994,848.30995,41227.0,58883.4831819736,2021-04-09 05:00:00+00:00
BTC/USD,04/10/2021,61010.95,59868.55,61250.0,58301.85,59775.925,876.234976,40666.0,60063.990386909,2021-04-10 05:00:00+00:00
